cust_id,year,emp_length_int,home_ownership,home_ownership_cat,income_category,income_cat,loan_amount,loan_term,loan_term_cat,purpose,purpose_cat,interest_payments,interest_payment_cat,loan_condition,loan_condition_cat,interest_rate,grade,grade_cat,dti,total_pymnt,total_rec_prncp,recoveries,installment,Account No,Transation_Date,TRANSACTION DETAILS, WITHDRAWAL AMT , DEPOSIT AMT ,BALANCE AMT,Surname,CreditScore,Geography,EstimatedSalary,Taxrating_2019,Taxrating_2018,Taxrating_2017
1,2011,10,RENT,1,Low,1,5000, 36 months,1,credit_card,1,Low,1,Good Loan,0,10.65,B,2,27.65,5861.071414,5000,0,162.87,409000000000,29-Jun-17,TRF FROM  Indiaforensic SERVICES,,1000000.00,1000000.00,Hargrave,619,France,101348.88,1,1,0
2,2011,0.5,RENT,1,Low,1,2500, 60 months,2,car,2,High,2,Bad Loan,1,15.27,C,3,1,1008.71,456.46,117.08,59.83,409000000001,5-Jul-17,TRF FROM  Indiaforensic SERVICES,,1000000.00,2000000.00,Hill,608,Spain,112542.58,1,1,0
3,2011,10,RENT,1,Low,1,2400, 36 months,1,small_business,3,High,2,Good Loan,0,15.96,C,3,8.72,3003.653644,2400,0,84.33,409000000002,18-Jul-17,FDRL/INTERNAL FUND TRANSFE,,500000.00,2500000.00,Onio,502,France,113931.57,1,1,0
4,2011,10,RENT,1,Low,1,10000, 36 months,1,other,4,High,2,Good Loan,0,13.49,C,3,20,12226.30221,10000,0,339.31,409000000003,1-Aug-17,TRF FRM  Indiaforensic SERVICES,,3000000.00,5500000.00,Boni,699,France,93826.63,1,1,0
5,2011,1,RENT,1,Low,1,3000, 60 months,2,other,4,Low,1,Good Loan,0,12.69,B,2,17.94,3242.17,2233.1,0,67.79,409000000004,16-Aug-17,FDRL/INTERNAL FUND TRANSFE,,500000.00,6000000.00,Mitchell,850,Spain,79084.10,1,1,0
6,2011,3,RENT,1,Low,1,5000, 36 months,1,wedding,5,Low,1,Good Loan,0,7.9,A,1,11.2,5631.377753,5000,0,156.46,409000000005,16-Aug-17,FDRL/INTERNAL FUND TRANSFE,,500000.00,6500000.00,Chu,645,Spain,149756.71,1,1,0
7,2011,8,RENT,1,Low,1,7000, 60 months,2,debt_consolidation,6,High,2,Good Loan,0,15.96,C,3,23.51,8136.84,5110.85,0,170.08,409000000006,16-Aug-17,FDRL/INTERNAL FUND TRANSFE,,500000.00,7000000.00,Bartlett,822,France,10062.80,1,1,0
8,2011,9,RENT,1,Low,1,3000, 36 months,1,car,2,High,2,Good Loan,0,18.64,E,5,5.35,3938.144334,3000,0,109.43,409000000007,16-Aug-17,FDRL/INTERNAL FUND TRANSFE,,500000.00,7500000.00,Obinna,376,Germany,119346.88,1,1,0
9,2011,4,OWN,2,Low,1,5600, 60 months,2,small_business,3,High,2,Bad Loan,1,21.28,F,6,5.55,646.02,162.02,189.06,152.39,409000000008,16-Aug-17,FDRL/INTERNAL FUND TRANSFE,,500000.00,8000000.00,He,501,France,74940.50,1,1,0
10,2011,0.5,RENT,1,Low,1,5375, 60 months,2,other,4,Low,1,Bad Loan,1,12.69,B,2,18.08,1476.19,673.48,269.29,121.45,409000000009,16-Aug-17,FDRL/INTERNAL FUND TRANSFE,,500000.00,8500000.00,H?,684,France,71725.73,1,1,0
11,2011,5,OWN,2,Low,1,6500, 60 months,2,debt_consolidation,6,High,2,Good Loan,0,14.65,C,3,16.12,7677.52,6500,0,153.45,409000000010,16-Aug-17,INDO GIBL Indiaforensic STL01071,"133,900.00",,8366100.00,Bearce,528,France,80181.12,1,1,1
12,2011,10,OWN,2,Low,1,12000, 36 months,1,debt_consolidation,6,Low,1,Good Loan,0,12.69,B,2,10.78,13943.08,12000,0,402.54,409000000011,16-Aug-17,INDO GIBL Indiaforensic STL02071,"18,000.00",,8348100.00,Andrews,497,Spain,76390.01,1,1,1
13,2011,0.5,RENT,1,Low,1,9000, 36 months,1,debt_consolidation,6,High,2,Bad Loan,1,13.49,C,3,10.08,2270.7,1256.14,444.3,305.38,409000000012,16-Aug-17,INDO GIBL Indiaforensic STL03071,"5,000.00",,8343100.00,Kay,476,France,26260.98,1,1,1
14,2011,3,RENT,1,Low,1,3000, 36 months,1,credit_card,1,Low,1,Good Loan,0,9.91,B,2,12.56,3478.981915,3000,0,96.68,409000000013,16-Aug-17,INDO GIBL Indiaforensic STL04071,"195,800.00",,8147300.00,Chin,549,France,190857.79,1,1,1
15,2011,3,RENT,1,Low,1,10000, 36 months,1,other,4,Low,1,Bad Loan,1,10.65,B,2,7.06,7471.99,5433.47,645.1,325.74,409000000014,16-Aug-17,INDO GIBL Indiaforensic STL05071,"81,600.00",,8065700.00,Scott,635,Spain,65951.65,1,1,1
16,2011,0.5,RENT,1,Low,1,1000, 36 months,1,debt_consolidation,6,High,2,Good Loan,0,16.29,D,4,20.31,1270.171106,1000,0,35.31,409000000015,16-Aug-17,INDO GIBL Indiaforensic STL06071,"41,800.00",,8023900.00,Goforth,616,Germany,64327.26,1,1,1
17,2011,4,RENT,1,Low,1,10000, 36 months,1,home_improvement,7,High,2,Good Loan,0,15.27,C,3,18.6,12519.26045,10000,0,347.98,409000000016,16-Aug-17,INDO GIBL Indiaforensic STL07071,"98,500.00",,7925400.00,Romeo,653,Germany,5097.67,1,1,1
18,2011,10,MORTGAGE,3,Medium,2,3600, 36 months,1,major_purchase,8,Low,1,Good Loan,0,6.03,A,1,10.52,3785.02,3600,0,109.57,409000000017,16-Aug-17,INDO GIBL Indiaforensic STL10071,"143,800.00",,7781600.00,Henderson,549,Spain,14406.41,1,1,1
19,2011,1,MORTGAGE,3,Low,1,6000, 36 months,1,medical,9,Low,1,Good Loan,0,11.71,B,2,18.44,7164.499852,6000,0,198.46,409000000018,16-Aug-17,INDO GIBL Indiaforensic STL11071,"331,650.00",,7449950.00,Muldrow,587,Spain,158684.81,1,1,1
20,2011,6,RENT,1,Low,1,9200, 36 months,1,debt_consolidation,6,Low,1,Good Loan,0,6.03,A,1,9.86,9459.96,9200,0,280.01,409000000019,16-Aug-17,INDO GIBL Indiaforensic STL12071,"129,000.00",,7320950.00,Hao,726,France,54724.03,1,1,1
21,2011,3,RENT,1,Low,1,20250, 60 months,2,debt_consolidation,6,High,2,Good Loan,0,15.27,C,3,26.53,27663.04267,20250,0,484.63,409000000020,16-Aug-17,INDO GIBL Indiaforensic STL13071,"230,013.00",,7090937.00,McDonald,732,France,170886.17,1,1,1
22,2011,10,RENT,1,Medium,2,21000, 36 months,1,debt_consolidation,6,Low,1,Bad Loan,1,12.42,B,2,13.22,14025.4,10694.96,0,701.73,409000000021,16-Aug-17,INDO GIBL Indiaforensic STL14071,"367,900.00",,6723037.00,Dellucci,636,Spain,138555.46,1,1,1
23,2011,10,OWN,2,Low,1,10000, 36 months,1,credit_card,1,Low,1,Good Loan,0,11.71,B,2,11.18,11902.56157,10000,0,330.76,409000000022,16-Aug-17,INDO GIBL Indiaforensic STL15071,"108,000.00",,6615037.00,Gerasimov,510,Spain,118913.53,1,1,1
24,2011,5,RENT,1,Low,1,10000, 36 months,1,debt_consolidation,6,Low,1,Good Loan,0,11.71,B,2,16.01,11536.31,10000,0,330.76,409000000023,16-Aug-17,INDO GIBL Indiaforensic STL16071,"64,800.00",,6550237.00,Mosman,669,France,8487.75,1,1,1
25,2011,1,RENT,1,Low,1,6000, 36 months,1,major_purchase,8,Low,1,Bad Loan,1,11.71,B,2,2.4,2050.14,1305.58,269.31,198.46,409000000024,16-Aug-17,INDO GIBL Indiaforensic STL17071,"141,000.00",,6409237.00,Yen,846,France,187616.16,1,1,1
26,2011,2,MORTGAGE,3,Low,1,15000, 36 months,1,credit_card,1,Low,1,Good Loan,0,9.91,B,2,29.44,15823.48,15000,0,483.38,409000000025,16-Aug-17,INDO GIBL Indiaforensic STL18071,"61,750.00",,6347487.00,Maclean,577,France,124508.29,1,1,1
27,2011,9,RENT,1,Low,1,15000, 36 months,1,debt_consolidation,6,High,2,Bad Loan,1,14.27,C,3,15.22,0,0,0,514.64,409000000026,16-Aug-17,INDO GIBL Indiaforensic STL19071,"67,920.00",,6279567.00,Young,756,Germany,170041.95,1,1,1
28,2011,2,RENT,1,Low,1,5000, 60 months,2,other,4,High,2,Bad Loan,1,16.77,D,4,13.97,1609.12,629.05,260.96,123.65,409000000027,16-Aug-17,INDO GIBL Indiaforensic STL20071,"78,100.00",,6201467.00,Nebechi,571,France,38433.35,1,1,1
29,2011,10,MORTGAGE,3,Medium,2,4000, 36 months,1,debt_consolidation,6,Low,1,Good Loan,0,11.71,B,2,5.63,4484.79,4000,0,132.31,409000000028,16-Aug-17,INDO GIBL Indiaforensic STL21071,"35,650.00",,6165817.00,McWilliams,574,Germany,100187.43,1,1,1
30,2011,0.5,RENT,1,Low,1,8500, 36 months,1,credit_card,1,Low,1,Good Loan,0,11.71,B,2,12.19,10122.20861,8500,0,281.15,409000000029,16-Aug-17,INDO GIBL Indiaforensic STL22071,"206,000.00",,5959817.00,Lucciano,411,France,53483.21,1,1,1
31,2011,7,MORTGAGE,3,Low,1,4375, 36 months,1,debt_consolidation,6,Low,1,Good Loan,0,7.51,A,1,20.34,4898.543558,4375,0,136.11,409000000030,16-Aug-17,INDO GIBL Indiaforensic STL24071,"35,300.00",,5924517.00,Azikiwe,591,Spain,140469.38,1,1,1
32,2011,5,MORTGAGE,3,Low,1,31825, 36 months,1,debt_consolidation,6,Low,1,Good Loan,0,7.9,A,1,14.03,34886.08,31825,0,995.82,409000000031,16-Aug-17,INDO GIBL Indiaforensic STL25071,"49,800.00",,5874717.00,Odinakachukwu,533,France,156731.91,1,1,1
33,2011,2,RENT,1,Low,1,10000, 60 months,2,debt_consolidation,6,High,2,Good Loan,0,15.96,C,3,22.83,11622.36,7304.67,0,242.97,409000000032,16-Aug-17,INDO GIBL Indiaforensic STL26071,"53,000.00",,5821717.00,Sanderson,553,Germany,81898.81,1,1,1
34,2011,2,RENT,1,Low,1,5000, 36 months,1,debt_consolidation,6,Low,1,Good Loan,0,8.9,A,1,11.93,5714.592129,5000,0,158.77,409000000033,16-Aug-17,INDO GIBL Indiaforensic STL27071,"91,300.00",,5730417.00,Maggard,520,Spain,34410.55,1,1,1
35,2011,7,RENT,1,Low,1,7000, 36 months,1,credit_card,1,High,2,Good Loan,0,15.96,C,3,6.35,8848.94043,7000,0,245.97,409000000034,16-Aug-17,INDO GIBL Indiaforensic STL28071,"57,499.00",,5672918.00,Clements,722,Spain,142033.07,1,1,1
36,2011,10,RENT,1,Low,1,12400, 36 months,1,credit_card,1,Low,1,Good Loan,0,10.65,B,2,11.8,14537.45953,12400,0,403.91,409000000035,16-Aug-17,INDO GIBL Indiaforensic STL30071,"20,000.00",,5652918.00,Lombardo,475,France,27822.99,1,1,1
37,2011,2,RENT,1,Low,1,10800, 36 months,1,moving,10,Low,1,Good Loan,0,9.91,B,2,5.5,12157.2,10800,0,348.03,409000000036,16-Aug-17,INDO GIBL Indiaforensic STL31071,"19,400.00",,5633518.00,Watson,490,Spain,114066.77,1,1,1
38,2011,1,RENT,1,Low,1,15000, 36 months,1,debt_consolidation,6,Low,1,Good Loan,0,7.9,A,1,8.48,16662.6,15000,0,469.36,409000000037,6-Sep-17,INDO GIBL Indiaforensic STL01081,"40,500.00",,5593018.00,Lorenzo,804,Spain,98453.45,1,1,1
39,2011,1,RENT,1,Low,1,6000, 36 months,1,debt_consolidation,6,Low,1,Good Loan,0,12.42,B,2,10.62,7125.283165,6000,0,200.5,409000000038,6-Sep-17,INDO GIBL Indiaforensic STL02081,"242,300.00",,5350718.00,Armstrong,850,France,40812.90,1,1,1
40,2011,1,RENT,1,Low,1,12500, 60 months,2,debt_consolidation,6,Low,1,Good Loan,0,12.69,B,2,16.04,13506.54,9306.87,0,282.44,409000000039,6-Sep-17,INDO GIBL Indiaforensic STL03081,"90,100.00",,5260618.00,Cameron,582,Germany,178074.04,1,1,1
41,2011,4,RENT,1,Low,1,9600, 36 months,1,other,4,Low,1,Good Loan,0,7.51,A,1,6.63,10749.76265,9600,0,298.67,409000000040,6-Sep-17,INDO GIBL Indiaforensic STL04081,"113,250.00",,5147368.00,Hsiao,472,Spain,70154.22,1,1,1
42,2011,10,RENT,1,Low,1,12000, 36 months,1,debt_consolidation,6,Low,1,Good Loan,0,7.9,A,1,16.7,13516.38296,12000,0,375.49,409000000041,6-Sep-17,INDO GIBL Indiaforensic STL05081,"12,500.00",,5134868.00,Clarke,465,France,181297.65,1,1,1
43,2011,9,MORTGAGE,3,Low,1,3000, 36 months,1,other,4,High,2,Good Loan,0,18.25,D,4,17.39,3915.027595,3000,0,108.84,409000000042,6-Sep-17,INDO GIBL Indiaforensic STL06081,"40,000.00",,5094868.00,Osborne,556,France,94153.83,1,1,1
44,2011,10,RENT,1,Low,1,4400, 36 months,1,debt_consolidation,6,High,2,Good Loan,0,16.77,D,4,20.01,5626.892655,4400,0,156.37,409000000043,6-Sep-17,INDO GIBL Indiaforensic STL07081,"206,900.00",,4887968.00,Lavine,834,France,194365.76,1,1,1
45,2011,10,MORTGAGE,3,Low,1,6000, 36 months,1,debt_consolidation,6,Low,1,Good Loan,0,6.03,A,1,5.34,6065.86,6000,0,182.62,409000000044,6-Sep-17,INDO GIBL Indiaforensic STL08081,"276,000.00",,4611968.00,Bianchi,660,Spain,158338.39,1,1,1
46,2011,6,RENT,1,Low,1,14000, 36 months,1,small_business,3,Low,1,Good Loan,0,9.91,B,2,10,16239.91413,14000,0,451.15,409000000045,6-Sep-17,INDO GIBL Indiaforensic STL09081,"171,000.00",,4440968.00,Tyler,776,Germany,126517.46,1,1,1
47,2011,10,MORTGAGE,3,Low,1,5000, 36 months,1,debt_consolidation,6,Low,1,Bad Loan,1,8.9,A,1,16.33,5021.37,4217.38,107,158.77,409000000046,6-Sep-17,INDO GIBL Indiaforensic STL10081,"40,100.00",,4400868.00,Martin,829,Germany,119708.21,1,1,1
48,2011,6,RENT,1,Low,1,10000, 36 months,1,other,4,Low,1,Good Loan,0,10.65,B,2,11.47,11724.56774,10000,0,325.74,409000000047,6-Sep-17,INDO GIBL Indiaforensic STL11081,"189,800.00",,4211068.00,Okagbue,637,Germany,117622.80,1,1,1
49,2011,10,RENT,1,Low,1,10000, 36 months,1,credit_card,1,Low,1,Good Loan,0,6.03,A,1,12.74,10282.67,10000,0,304.36,409000000048,6-Sep-17,INDO GIBL Indiaforensic STL12081,"55,800.00",,4155268.00,Yin,550,Germany,90878.13,1,1,1
50,2011,5,RENT,1,Low,1,11000, 36 months,1,debt_consolidation,6,Low,1,Good Loan,0,6.62,A,1,10.85,12157.38005,11000,0,337.75,409000000049,6-Sep-17,INDO GIBL Indiaforensic STL13081,"95,400.00",,4059868.00,Buccho,776,Germany,194099.12,1,1,1
51,2011,8,MORTGAGE,3,Low,1,15000, 36 months,1,debt_consolidation,6,Low,1,Bad Loan,1,9.91,B,2,9.12,16177.77,13556.45,222.81,483.38,409000000050,6-Sep-17,INDO GIBL Indiaforensic STL14081,"271,323.00",,3788545.00,Chidiebele,698,Germany,198059.16,1,1,1
52,2011,9,RENT,1,Medium,2,25600, 36 months,1,credit_card,1,Low,1,Good Loan,0,9.91,B,2,15.71,29695.62268,25600,0,824.96,409000000051,6-Sep-17,INDO GIBL Indiaforensic STL16081,"200,600.00",,3587945.00,Trevisani,585,Germany,86424.57,1,1,1
